END_DATE,FISCAL_WK_OF_QTR,FISCAL_QTR,FISCAL_YR
2016-10-09,1,4,2016
2016-10-11,2,4,2016
2016-10-18,3,4,2016
2016-10-25,4,4,2016
2016-11-01,5,4,2016
2016-11-08,6,4,2016
2016-11-15,7,4,2016
2016-11-22,8,4,2016
2016-11-29,9,4,2016
2016-12-06,10,4,2016
2016-12-13,11,4,2016
2016-12-20,12,4,2016
2016-01-06,13,4,2016
2017-01-08,1,1,2017
2017-01-10,2,1,2017
2017-01-17,3,1,2017
2017-01-24,4,1,2017
2017-01-31,5,1,2017
2017-02-07,6,1,2017
2017-02-14,7,1,2017
2017-02-21,8,1,2017
2017-02-28,9,1,2017
2017-03-07,10,1,2017
2017-03-14,11,1,2017
2017-03-21,12,1,2017
2017-04-06,13,1,2017
2017-04-09,1,2,2017
2017-04-11,2,2,2017
2017-04-18,3,2,2017
2017-04-25,4,2,2017
2017-05-02,5,2,2017
2017-05-09,6,2,2017
2017-05-16,7,2,2017
2017-05-23,8,2,2017
2017-05-30,9,2,2017
2017-06-06,10,2,2017
2017-06-13,11,2,2017
2017-06-20,12,2,2017
2017-07-07,13,2,2017
2017-07-09,1,3,2017
2017-07-11,2,3,2017
2017-07-18,3,3,2017
2017-07-25,4,3,2017
2017-08-01,5,3,2017
2017-08-08,6,3,2017
2017-08-15,7,3,2017
2017-08-22,8,3,2017
2017-08-29,9,3,2017
2017-09-05,10,3,2017
2017-09-12,11,3,2017
2017-09-19,12,3,2017
2017-09-26,13,3,2017
2017-10-08,1,4,2017
2017-10-10,2,4,2017
2017-10-17,3,4,2017
2017-10-24,4,4,2017
2017-10-31,5,4,2017
2017-11-07,6,4,2017
2017-11-14,7,4,2017
2017-11-21,8,4,2017
2017-11-28,9,4,2017
2017-12-05,10,4,2017
2017-12-12,11,4,2017
2017-12-19,12,4,2017
2017-12-26,13,4,2017
2018-01-02,1,1,2018
2018-01-09,2,1,2018
2018-01-16,3,1,2018
2018-01-23,4,1,2018
2018-01-30,5,1,2018
2018-02-06,6,1,2018
2018-02-13,7,1,2018
2018-02-20,8,1,2018
2018-02-27,9,1,2018
2018-03-06,10,1,2018
2018-03-13,11,1,2018
2018-03-20,12,1,2018
2018-03-27,13,1,2018
2018-04-03,1,2,2018
2018-04-10,2,2,2018
2018-04-17,3,2,2018
2018-04-24,4,2,2018
2018-05-01,5,2,2018
2018-05-08,6,2,2018
2018-05-15,7,2,2018
2018-05-22,8,2,2018
2018-05-29,9,2,2018
2018-06-05,10,2,2018
2018-06-12,11,2,2018
2018-06-19,12,2,2018
2018-06-26,13,2,2018
2018-07-03,1,3,2018
2018-07-10,2,3,2018
2018-07-17,3,3,2018
2018-07-24,4,3,2018
2018-07-31,5,3,2018
